ID,APP_NAME,PLATFORM,DATE,REVENUE_CENTS,IMPRESSIONS
0cbb351d42ec80509283cfe62aa15545,jumping blocks,ios,2010-11-02,6.265643174,120
7ba7e9e0b10e375f5443636dc6211403,jumping blocks,ios,2010-11-02,10.434607669,230
771755d87a237bb36f38c6ee14b99c0b,jumping blocks,ios,2010-11-02,17.246593221,390
2ba2aacf4bce2ea516be1c4b9ae0241c,jumping blocks,ios,2010-11-03,77.863456738,1760
2e095e9ab510c5b51d5403fa5f024283,jumping blocks,ios,2010-11-02,126.977463151,2870
854b5f889f40a92d8c7762203eee3787,jumping blocks,ios,2010-11-03,7.499900957,170
85543422514bc8442b4f88d74b288c65,parking hoops,android,2010-11-02,6.16348692,30
600a9c1de01c84cb092fd55ed097b91e,jumping blocks,ios,2010-11-03,15.187233346,330
6aa1f6b177081523a0adc841de5f49eb,parking hoops,android,2010-11-03,627.475752721,2060
89977ef7cbc37bbe1bab3d177cfa2700,jumping blocks,ios,2010-11-03,16.041357748,330
1155bf5813c3d546b6eb2b6780323860,jumping blocks,ios,2010-11-02,33.817526479,760
a7d8e087ee376d71f0576cbf8ae20bd0,parking hoops,ios,2010-11-03,38.005874227,100
8da4a4f0a6a5fcc3ac7b66c059ff2137,jumping blocks,ios,2010-11-03,48.115593326,160
7e2561615b21868c6bccf9d7add860ee,jumping blocks,ios,2010-11-03,14.719314777000001,290
c9be88287ba9e5de8d2d34b0d1d4e9b7,jumping blocks,ios,2010-11-02,32.786439865999995,750
0143e24dc6bbce8433d14f3edda6955f,parking hoops,ios,2010-11-03,12.885468065,50
9c7233718f63b5755e996c73825661fc,parking hoops,android,2010-11-02,39.949476084000004,120
c6f7386beaac252eb05a8c9bb3a0193b,jumping blocks,ios,2010-11-01,68.79486227,220
a417ba83fdb9ba698480ac24e49f99bb,jumping blocks,ios,2010-11-02,20.748772025,480
b1122fbe43077acd436f243fe14f7681,jumping blocks,ios,2010-11-03,1.369860855,30
bc11f080c2ed23e7f40ef8a2d2a0bdd0,jumping blocks,ios,2010-11-03,18.4423389,390
bc11f080c2ed23e7f40ef8a2d2a0bdd0,jumping blocks,ios,2010-11-02,69.507445086,1570
f31721e963d62dfb43cb015e9a0f44b2,jumping blocks,ios,2010-11-02,160.127029192,3640
71e831daf3bf8c342aa01fa408f44acb,jumping blocks,ios,2010-11-02,2.5788527180000003,50
71e831daf3bf8c342aa01fa408f44acb,jumping blocks,ios,2010-11-03,1.164373452,30
34dc3e481e22683ca6a424cde93aa1bc,jumping blocks,ios,2010-11-01,96.84414093,320
0c3893164b9979f8d136e6bef1a43e98,jumping blocks,ios,2010-11-01,97.566913441,2220
28e1e16ad99debafbf1e8eabab0940c2,jumping blocks,ios,2010-11-01,55.205266495000004,1250
a69d959b98201636c8abb425370f2b35,parking hoops,ios,2010-11-01,317.1134376,1030
217a630369b353cf5a5aeb34b1d18819,parking hoops,ios,2010-11-01,196.9815829,640
39800682679b88a2ad2ad0b10d7a3b85,jumping blocks,ios,2010-11-01,10.33001627,230
eeaa4f72877b9bf897957c2ed3f6805c,jumping blocks,ios,2010-11-01,595.05245335,1940
9cf81b8253a131908f18bc58d473237e,jumping blocks,ios,2010-11-01,692.84336425,2240
94315bd043a000537e447aac62669fc2,jumping blocks,ios,2010-11-01,16.495701299,370
b6f54b1f289694aa73d3fdcf4ed23525,jumping blocks,ios,2010-11-01,172.45710287,550
791a54ced7671e7687b45feae3d3c0d6,parking hoops,android,2010-11-01,223.28899797999998,720
b548ba1c9382b85eaa87077d6012be51,jumping blocks,ios,2010-11-01,98.749259216,2230
8721332dd49f92c89241dc9877852f9f,jumping blocks,ios,2010-11-01,16.405131446,370
86152d1794133d53f0fa9db90571ee1e,jumping blocks,ios,2010-11-01,79.968882033,1820
5c805656a7bd7101413dd75204e4f84b,jumping blocks,ios,2010-11-01,24.904552598,570
e754a87af6de299039de48eebca5666b,jumping blocks,ios,2010-11-01,525.663137784,1700
9b54c54cfaa7a26d35e58b7d760cae42,jumping blocks,ios,2010-11-01,27.753644721999997,620
5839228ee2ab5e4c0ff2923793bffc93,jumping blocks,ios,2010-11-01,26.693905188,610
c1d95369c9c06cef6cfea447cbce33f1,parking hoops,android,2010-11-01,143.20183864,460
10ddca50f33aca65f04c7ec36cd69ac6,jumping blocks,ios,2010-11-01,48.781210058,1090
def78fb3d67a87752a4297b76d85ec52,jumping blocks,ios,2010-11-01,56.21039613,1260
887fd01a12ecdbf033ccca0664d888ef,jumping blocks,ios,2010-11-01,47.67208363,150
fe6ca69bf3b5f83d9a90623ec39aded6,jumping blocks,ios,2010-11-01,454.141318643,1480
cb7c597e697681225e4090103792a768,parking hoops,android,2010-11-01,933.168261645,3030
a4ab671335c43fd4066be38fb7f47074,parking hoops,android,2010-11-01,260.69387673,850
d9f94d1b40117ad02550a4276db7edd5,jumping blocks,ios,2010-11-01,64.03833343,1470
ce5878b06d0a129c2205be27149c04ce,parking hoops,android,2010-11-03,210.400380144,680
428e1a99a1a5c4ad2356d93d02cf997c,parking hoops,ios,2010-11-01,1139.58569587,3690
2ff89b89541b48e702c19f70c7bf0a7b,jumping blocks,ios,2010-11-01,47.222285,1070
014f2acbf7bf9b8a475b416c76e3b93d,jumping blocks,ios,2010-11-01,126.065677264,2850
3f40ac371821c81cffca1b7db9a0964f,jumping blocks,ios,2010-11-01,135.542222911,3060
