PSEUDO_USER_ID,APP_NAME,PLATFORM,ACQUISITION_CHANNEL,CAMPAIGN_NAME,CREATIVES_NAME,COUNTRY,VERSION,INSTALLATION_DATE
3ecc3c85e927513a0efb861d1ccc96fc,jumping blocks,ios,Google,jp_03_campaign,jumping_blocks_ad2,jp,0.48.1,2010-11-02
244edbb9f7579b61a10a7cbf1caa8fd9,jumping blocks,ios,Facebook,jp_01_campaign,jumping_blocks_ad1,us,0.40.1,2010-11-02
5636cd6d764866ee740180176c7fc112,jumping blocks,ios,Facebook,jp_01_campaign,jumping_blocks_ad1,us,0.48.1,2010-11-02
0cbb351d42ec80509283cfe62aa15545,jumping blocks,ios,Google,jp_03_campaign,jumping_blocks_ad1,au,0.40.1,2010-11-01
eb3e1391fcdce217d7c5b777b425702c,jumping blocks,ios,Facebook,jp_01_campaign,jumping_blocks_ad1,us,0.48.1,2010-11-02
99c91895827ccbcfc3f65fe01eb36fc4,jumping blocks,ios,Facebook,jp_01_campaign,jumping_blocks_ad1,us,0.40.1,2010-11-02
2e36424fe0cee842dc6dcc35e0f2993d,jumping blocks,ios,Facebook,jp_01_campaign,jumping_blocks_ad1,us,0.48.1,2010-11-03
055852e02cae4bfc2ddcc6e5741416e0,jumping blocks,ios,Facebook,jp_01_campaign,jumping_blocks_ad1,us,0.48.1,2010-11-02
3b93973522c432f19e3e9b5dc5e9ed5e,jumping blocks,ios,Google,jp_03_campaign,jumping_blocks_ad2,gp,0.48.1,2010-11-02
88ce5a24e52ae256cf9f65c0eb001cd9,jumping blocks,ios,Facebook,jp_01_campaign,jumping_blocks_ad1,us,0.40.1,2010-11-02
05929a099fa04aec326a079d3bf0913a,jumping blocks,ios,Facebook,jp_01_campaign,jumping_blocks_ad1,us,0.48.1,2010-11-02
c3a42479d1680b8488973ccddfb939c5,jumping blocks,ios,Facebook,jp_01_campaign,jumping_blocks_ad1,us,0.40.1,2010-11-01
b9808885304e525deb802d0f5902659a,jumping blocks,ios,Google,jp_03_campaign,jumping_blocks_ad3,gp,0.40.1,2010-11-03
3a65d9a993de9c9efd465d9d6dc6a41f,parking hoops,ios,Google,ph_01_campaign,parking_hoops_ad4,gp,0.20.1,2010-11-01
2ba2aacf4bce2ea516be1c4b9ae0241c,jumping blocks,ios,Facebook,jp_01_campaign,jumping_blocks_ad1,us,0.40.1,2010-11-03
87721b0cb6c8d3d24c900f0a57683efc,jumping blocks,ios,Facebook,jp_01_campaign,jumping_blocks_ad1,us,0.40.1,2010-11-03
87d22567ffbbd010151154167b5e2b17,jumping blocks,ios,Facebook,jp_01_campaign,jumping_blocks_ad1,us,0.40.1,2010-11-02
